Basel Temperature,Basel Relative Humidity,Basel Wind Speed
10.610529,71,7.92
11.280529,66,7.5942073
9.970529,70,7.208994
9.350529,68,6.130579
9.730529,63,5.8603754
9.890529,55,6.638072
10.250529,48,5.6920996
11.590529,50,2.7416782
15.250529,54,10.105681
17.31053,50,25.20257
18.260529,47,29.888672
19.15053,44,31.319998
19.750528,38,28.442278
20.410528,34,29.899511
20.660528,30,30.317043
20.280529,30,29.88
19.010529,38,28.739187
17.38053,50,25.849905
16.55053,56,23.933907
15.3005295,61,23.03156
13.240529,80,17.643673
12.930529,84,18.733839
12.660529,88,17.58481
12.290529,90,15.379206
12.080529,90,13.044722
10.760529,84,15.629972
10.040529,85,11.885453
9.680529,83,8.64
9.110529,83,5.0528407
8.170529,90,3.8268526
8.500529,90,5.4833565
9.750529,77,8.557102
10.120529,72,13.324863
10.8005295,66,17.057314
11.310529,66,18.709612
11.580529,64,21.188072
12.960529,56,18.86139
12.590529,56,20.140705
12.620529,56,22.218153
12.590529,55,22.565422
12.330529,57,20.466246
11.230529,63,15.03835
10.080529,69,11.923557
9.930529,70,9.449572
9.400529,71,9.605998
8.620529,75,8.707238
8.030529,77,7.2805495
7.5905285,78,6.519877
7.2805285,77,4.802999
7.1805286,75,4.198285
7.7105284,75,3.319036
7.8205285,76,2.7416782
8.030529,77,2.3051248
7.9905286,78,3.7585104
6.0105286,79,10.041354
7.6205287,72,7.729527
10.150529,62,9.339208
11.530529,58,10.823973
12.710529,55,12.261158
13.780529,51,14.113653
15.670529,45,10.8955765
16.13053,45,15.137133
16.250528,46,15.84409
16.12053,47,16.93531
15.760529,46,15.905319
14.660529,51,13.039754
13.810529,53,12.964998
13.410529,54,12.682018
13.210529,51,12.7279215
13.280529,44,11.808878
13.520529,45,13.570615
13.310529,50,13.661038
13.130529,51,14.512064
12.690529,56,20.037485
11.930529,63,19.66536
11.760529,65,20.288164
11.700529,68,16.981165
11.690529,70,16.055353
11.580529,75,17.076298
12.150529,76,21.046917
12.920529,73,22.530937
13.340529,73,20.620806
14.370529,69,21.605999
14.700529,70,21.599998
12.530529,75,18.844202
12.420529,77,17.313717
13.080529,75,16.923828
13.180529,75,17.283749
13.0505295,74,16.575644
11.840529,82,11.966953
11.060529,85,9.72
